2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:41:12 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:41:13 : get UDP information from192.168.1.105,CPU Usage:15 
2014-07-08 19:41:13 : get UDP information from192.168.1.103,CPU Usage:11 
2014-07-08 19:41:14 : get UDP information from192.168.1.104,CPU Usage:16 
2014-07-08 19:41:14 : get UDP information from192.168.1.105,CPU Usage:6 
2014-07-08 19:41:14 : get UDP information from192.168.1.103,CPU Usage:10 
2014-07-08 19:41:15 : get UDP information from192.168.1.104,CPU Usage:30 
2014-07-08 19:41:15 : get UDP information from192.168.1.105,CPU Usage:17 
2014-07-08 19:41:15 : get UDP information from192.168.1.103,CPU Usage:28 
2014-07-08 19:41:16 : get UDP information from192.168.1.104,CPU Usage:6 
2014-07-08 19:41:16 : get UDP information from192.168.1.105,CPU Usage:20 
2014-07-08 19:41:16 : get UDP information from192.168.1.103,CPU Usage:6 
2014-07-08 19:41:17 : get UDP information from192.168.1.104,CPU Usage:29 
2014-07-08 19:41:17 : get UDP information from192.168.1.105,CPU Usage:20 
2014-07-08 19:41:17 : get UDP information from192.168.1.103,CPU Usage:36 
2014-07-08 19:41:18 : get UDP information from192.168.1.104,CPU Usage:24 
2014-07-08 19:41:19 : get UDP information from192.168.1.105,CPU Usage:29 
2014-07-08 19:41:19 : get UDP information from192.168.1.103,CPU Usage:10 
